Puerto,Río,Variación,Estado
CAXIA (BRASIL),IGUAZU,-6.43,BAJA
REPRESA CAPANEMA (BRASIL),IGUAZU,-2.47,BAJA
ANDRESITO,IGUAZU,0.08,CRECE
IGUAZU,IGUAZU,0.20,CRECE
GUAYRA (BRASIL),PARANA,-3.55,BAJA
REPRESA ITAIPU (BRASIL),PARANA,4.87,CRECE
LIBERTAD,PARANA,-0.10,BAJA
ELDORADO,PARANA,0.10,CRECE
LIBERTADOR,PARANA,0.02,CRECE
PUERTO MANI,PARANA,0.06,CRECE
SANTA ANA,PARANA,-0.07,BAJA
POSADAS,PARANA,0.03,CRECE
ITUZAINGO,PARANA,0.05,CRECE
ITA IBATE,PARANA,0.08,CRECE
ITATI,PARANA,0.00,ESTAC.
PASO DE LA PATRIA,PARANA,0.01,CRECE
CORRIENTES,PARANA,0.02,CRECE
BARRANQUERAS,PARANA,-0.03,BAJA
EMPEDRADO,PARANA,-0.03,BAJA
BELLA VISTA,PARANA,-0.03,BAJA
GOYA,PARANA,-0.03,BAJA
RECONQUISTA,PARANA,0.00,ESTAC.
ESQUINA,PARANA,0.00,ESTAC.
SAN JAVIER (SANTA FE),SAN JAVIER,0.00,ESTAC.
LA PAZ,PARANA,0.00,ESTAC.
SANTA ELENA,PARANA,0.00,ESTAC.
HERNANDARIAS,PARANA,0.00,ESTAC.
PARANA,PARANA,0.00,ESTAC.
SANTA FE,PARANA,0.00,ESTAC.
DIAMANTE,PARANA,0.00,ESTAC.
VICTORIA,PARANA,0.00,ESTAC.
SAN LORENZO,PARANA,0.00,ESTAC.
ROSARIO,PARANA,-0.09,BAJA
VILLA CONSTITUCION,PARANA,-0.05,BAJA
SAN NICOLAS,PARANA,0.00,ESTAC.
RAMALLO,PARANA,0.10,CRECE
SAN PEDRO,DELTA PARANA,0.45,CRECE
BARADERO,DELTA PARANA,0.50,CRECE
ZARATE,DELTA PARANA,0.46,CRECE
CAMPANA,DELTA PARANA,0.35,CRECE
ESCOBAR,DELTA PARANA,0.60,CRECE
CANAL NUEVO,DELTA PARANA,0.62,CRECE
PUERTO RUIZ,GUALEGUAY,0.08,CRECE
IBICUY,IBICUY,0.60,CRECE
GUAZUCITO,DELTA PARANA,0.45,CRECE
MARTIN GARCIA,DELTA PARANA,0.30,CRECE
TIGRE,DELTA PARANA,-0.10,BAJA
DIQUE LUJAN,DELTA PARANA,0.20,CRECE
CHANA MINI,DELTA PARANA,0.20,CRECE
SAN FERNANDO,DELTA PARANA,-0.10,BAJA
SAN ISIDRO,DELTA PARANA,-0.10,BAJA
OLIVOS,DELTA PARANA,0.10,CRECE
PILCOMAYO,PARAGUAY,0.05,CRECE
BOUVIER,PARAGUAY,-,S/E.
FORMOSA,PARAGUAY,0.00,ESTAC.
BERMEJO,PARAGUAY,0.03,CRECE
LAS PALMAS,PARAGUAY,0.04,CRECE
ISLA DEL CERRITO,PARAGUAY,0.00,ESTAC.
EL SOBERBIO,URUGUAY,-0.10,BAJA
ALBA POSSE,URUGUAY,-0.10,BAJA
SAN JAVIER,URUGUAY,-0.34,BAJA
PUERTO CONCEPCION,URUGUAY,0.00,ESTAC.
GARRUCHOS,URUGUAY,0.00,ESTAC.
SANTO TOME,URUGUAY,0.00,ESTAC.
ALVEAR,URUGUAY,0.00,ESTAC.
LA CRUZ,URUGUAY,-0.06,BAJA
YAPEYU,URUGUAY,-0.02,BAJA
PASO DE LOS LIBRES,URUGUAY,-0.06,BAJA
BOMPLAND,URUGUAY,-,S/E.
MONTE CASEROS,URUGUAY,0.00,ESTAC.
MOCORETA,URUGUAY,0.04,CRECE
FEDERACION,URUGUAY,0.00,ESTAC.
FEDERACION EMBALSE,URUGUAY,0.00,ESTAC.
SALTO GRANDE ARRIBA,URUGUAY,-0.04,BAJA
SALTO GRANDE ABAJO,URUGUAY,1.85,CRECE
CONCORDIA,URUGUAY,1.48,CRECE
COLON,URUGUAY,0.36,CRECE
CONCEPCION DEL URUGUAY,URUGUAY,0.54,CRECE
CAMPICHUELO,URUGUAY,-,S/E.
GUALEGUAYCHU,GUALEGUAYCHU,0.76,CRECE
BOCA GUALEGUAYCHU,GUALEGUAYCHU,0.70,CRECE
PARANACITO,URUGUAY,0.56,CRECE
BUENOS AIRES,DE LA PLATA,-0.21,BAJA
LA PLATA,DE LA PLATA,-0.40,BAJA
BRAGA,DE LA PLATA,0.00,ESTAC.
SANTA TERESITA,DE LA PLATA,-,S/E.
ATALAYA,DE LA PLATA,-0.30,BAJA
